0.0021726,5.9316,42.126,764.86
0.86907,5.9281,42.126,764.86
1.8093,5.926,42.126,764.86
2.7715,5.922,42.126,764.86
3.7605,5.9179,42.126,764.86
4.6886,5.9132,42.126,764.86
5.5111,5.91,42.126,764.86
6.5213,5.9055,42.126,764.86
7.5769,5.9025,42.126,764.86
8.5359,5.8988,42.126,764.86
9.3889,5.8931,42.126,764.86
10.451,5.8833,42.126,764.86
11.413,5.8688,42.126,764.86
12.372,5.8514,42.126,764.86
13.224,5.812,42.126,764.86
13.599,5.7895,42.126,764.86
13.784,5.7726,42.126,764.86
13.972,5.7529,42.126,764.86
14.133,5.7319,42.126,764.86
14.341,5.7042,42.126,764.86
14.525,5.6743,42.126,764.86
14.714,5.6382,42.126,764.86
14.899,5.5973,42.126,764.86
15.079,5.5507,42.126,764.86
15.264,5.4973,42.126,764.86
15.447,5.4363,42.126,764.86
15.613,5.3731,42.126,764.86
15.817,5.2836,42.126,764.86
15.998,5.1931,42.126,764.86
16.183,5.0899,42.126,764.86
16.367,4.977,42.126,764.86
16.549,4.8509,42.126,764.86
16.733,4.7111,42.126,764.86
16.897,4.5708,42.126,764.86
17.097,4.386,42.126,764.86
17.277,4.1995,42.126,764.86
17.461,3.9976,42.126,764.86
17.64,3.7831,42.126,764.86
17.822,3.5494,42.126,764.86
18.008,3.2726,42.126,764.86
18.188,3.0213,42.126,764.86
18.371,2.7333,42.126,764.86
18.554,2.4228,42.126,764.86
18.736,2.1079,42.126,764.86
18.912,1.7808,42.126,764.86
19.084,1.4484,42.126,764.86
19.279,1.0557,42.126,764.86
19.46,0.67479,42.126,764.86
19.632,0.29525,42.126,764.86
19.754,0.01142,42.126,764.86
19.766,-0.001562,42.126,764.86
19.766,-0.0026128,42.126,764.86
19.766,-0.0025458,42.126,764.86
19.766,-0.0024171,42.126,764.86
19.766,-0.0021932,42.126,764.86
19.766,-0.002529,42.126,764.86
0.0024147,6.6603,49.425,855.1
0.82776,6.6551,49.425,855.1
1.7396,6.648,49.425,855.1
2.6603,6.6434,49.425,855.1
3.5783,6.6399,49.425,855.1
4.5118,6.6373,49.425,855.1
5.3597,6.634,49.425,855.1
6.341,6.631,49.425,855.1
7.2651,6.6259,49.425,855.1
8.1737,6.621,49.425,855.1
9.0244,6.6147,49.425,855.1
10.015,6.6056,49.425,855.1
10.953,6.5916,49.425,855.1
11.856,6.5632,49.425,855.1
12.768,6.5034,49.425,855.1
13.013,6.4821,49.425,855.1
13.222,6.4574,49.425,855.1
13.411,6.4306,49.425,855.1
13.599,6.3997,49.425,855.1
13.772,6.3672,49.425,855.1
13.986,6.3229,49.425,855.1
14.163,6.277,49.425,855.1
14.352,6.2236,49.425,855.1
14.542,6.1637,49.425,855.1
14.729,6.0964,49.425,855.1
14.914,6.0195,49.425,855.1
15.106,5.9309,49.425,855.1
15.27,5.844,49.425,855.1
15.476,5.7243,49.425,855.1
15.664,5.6013,49.425,855.1
15.85,5.465,49.425,855.1
16.016,5.3305,49.425,855.1
16.222,5.1506,49.425,855.1
16.41,4.9661,49.425,855.1
16.596,4.7707,49.425,855.1
16.781,4.5565,49.425,855.1
16.968,4.3244,49.425,855.1
17.152,4.0806,49.425,855.1
17.323,3.8383,49.425,855.1
17.524,3.5328,49.425,855.1
